gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4994506428	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/453050301/original.jpeg	https://www.inaturalist.org/photos/453050301					2024-11-23T15:40:19Z	Norbert Kondla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norbert Kondla
4994486741	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/414028549/original.jpeg	https://www.inaturalist.org/photos/414028549					2024-07-31T22:09:43Z	skipvia		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	skipvia
4994408448	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/455541992/original.jpeg	https://www.inaturalist.org/photos/455541992					2024-12-03T23:29:19Z	Norbert Kondla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norbert Kondla
4994336607	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/454929807/original.jpeg	https://www.inaturalist.org/photos/454929807					2024-12-01T04:04:40Z	Norbert Kondla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norbert Kondla
4994295874	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/454932926/original.jpeg	https://www.inaturalist.org/photos/454932926					2024-12-01T04:12:03Z	Norbert Kondla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norbert Kondla
4994158211	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/146825744/original.jpg	https://www.inaturalist.org/photos/146825744					2021-07-28T15:25:54Z	neil_tsutsui		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	neil_tsutsui
4994158211	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/146825827/original.jpg	https://www.inaturalist.org/photos/146825827					2021-07-28T15:25:54Z	neil_tsutsui		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	neil_tsutsui
4994158211	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/146825777/original.jpg	https://www.inaturalist.org/photos/146825777					2021-07-28T15:25:54Z	neil_tsutsui		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	neil_tsutsui
4994131944	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/430147863/original.jpeg	https://www.inaturalist.org/photos/430147863					2024-08-23T18:25:22Z	Jeremy Collison		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jeremy Collison
4994126075	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/420380458/original.jpeg	https://www.inaturalist.org/photos/420380458					2024-08-17T15:38:05Z	pck_rr9		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pck_rr9
4994126075	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/420382291/original.jpeg	https://www.inaturalist.org/photos/420382291					2024-08-17T15:38:05Z	pck_rr9		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pck_rr9
4994066343	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/454930690/original.jpeg	https://www.inaturalist.org/photos/454930690					2024-12-01T04:06:55Z	Norbert Kondla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norbert Kondla
